datetime,P
27/4/2018 8:06,-0.68052703
27/4/2018 8:09,-0.6418517
27/4/2018 8:12,-0.61213475
27/4/2018 8:15,-0.58034396
27/4/2018 8:18,-0.5494977
27/4/2018 8:21,-0.48825672
27/4/2018 8:24,-0.4541041
27/4/2018 8:27,-0.43175396
27/4/2018 8:30,-0.39604017
27/4/2018 8:33,-0.35912302
27/4/2018 8:36,-0.34556946
27/4/2018 8:39,-0.24028079
27/4/2018 8:42,-0.22369887
27/4/2018 8:45,-0.1875758
27/4/2018 8:48,-0.037894063
27/4/2018 8:51,0.083472736
27/4/2018 8:54,0.1505282
27/4/2018 8:57,0.009711871
27/4/2018 9:00,0.0036018286
27/4/2018 9:03,0.117038585
27/4/2018 9:06,0.20792736
27/4/2018 9:09,0.39138943
27/4/2018 9:12,0.3003459
27/4/2018 9:15,0.84769857
27/4/2018 9:18,1.0832952
27/4/2018 9:21,0.6797781
27/4/2018 9:24,1.0121199
27/4/2018 9:27,0.5017874
27/4/2018 9:30,0.32612014
27/4/2018 9:33,0.42613748
27/4/2018 9:36,0.29616645
27/4/2018 9:39,0.20285793
27/4/2018 9:42,0.20820947
27/4/2018 9:45,0.23629935
27/4/2018 9:48,0.23865516
27/4/2018 9:51,0.18527971
27/4/2018 9:54,0.18469016
27/4/2018 9:57,0.18241732
27/4/2018 10:00,0.20497178
27/4/2018 10:03,0.20365645
27/4/2018 10:06,0.35041165
27/4/2018 10:09,0.47553316
27/4/2018 10:12,0.6945291
27/4/2018 10:15,0.4364333
27/4/2018 10:18,0.42948487
27/4/2018 10:21,1.0057919
27/4/2018 10:24,0.56571114
27/4/2018 10:27,0.42988726
27/4/2018 10:30,0.80644464
27/4/2018 10:33,0.28356948
27/4/2018 10:36,0.05872608
27/4/2018 10:39,1.1538115
27/4/2018 10:42,0.28962734
27/4/2018 10:45,0.103940465
27/4/2018 10:48,0.56357044
27/4/2018 10:51,0.2910679
27/4/2018 10:54,0.5744929
27/4/2018 10:57,0.35674998
27/4/2018 11:00,0.17157583
27/4/2018 11:03,0.039394207
27/4/2018 11:06,-0.1914839
27/4/2018 11:09,-0.25485384
27/4/2018 11:12,-0.23819177
27/4/2018 11:15,-0.08580243
27/4/2018 11:18,-0.060126744
27/4/2018 11:21,-0.10919913
27/4/2018 11:24,-0.16965596
27/4/2018 11:27,-0.1508428
27/4/2018 11:30,-0.17702316
27/4/2018 11:33,-0.23250489
27/4/2018 11:36,0.04200057
27/4/2018 11:39,0.39920813
27/4/2018 11:42,0.6833869
27/4/2018 11:45,0.65018064
27/4/2018 11:48,0.2493188
27/4/2018 11:51,0.27049693
27/4/2018 11:54,0.29892316
27/4/2018 11:57,0.33436325
27/4/2018 12:00,0.46910495
27/4/2018 12:03,0.6405122
27/4/2018 12:06,0.5493227
27/4/2018 12:09,0.4683678
27/4/2018 12:12,0.2679886
27/4/2018 12:15,0.28264305
27/4/2018 12:18,0.58366734
27/4/2018 12:21,0.40976104
27/4/2018 12:24,-0.19927059
27/4/2018 12:27,-0.17095529
27/4/2018 12:30,0.0746947
27/4/2018 12:33,0.23319452
27/4/2018 12:36,0.050684668
27/4/2018 12:39,-0.07836222
27/4/2018 12:42,-0.077230506
27/4/2018 12:45,-0.062035017
27/4/2018 12:48,-0.17128234
27/4/2018 12:51,-0.27995434
27/4/2018 12:54,-0.23486619
27/4/2018 12:57,-0.19565912
27/4/2018 13:00,-0.18376864
27/4/2018 13:03,-0.12509494
27/4/2018 13:06,0.09742055
27/4/2018 13:09,0.23192699
27/4/2018 13:12,0.42055392
27/4/2018 13:15,0.5291798
27/4/2018 13:18,0.5132383
27/4/2018 13:21,0.59554416
27/4/2018 13:24,0.60452616
27/4/2018 13:27,0.57118016
27/4/2018 13:30,0.6448155
27/4/2018 13:33,0.5723799
27/4/2018 13:36,0.45265672
27/4/2018 13:39,0.4290244
27/4/2018 13:42,0.38615948
27/4/2018 13:45,0.303865
27/4/2018 13:48,0.17532165
27/4/2018 13:51,0.102410235
27/4/2018 13:54,0.10747976
27/4/2018 13:57,0.00204123
27/4/2018 14:00,-0.14791878
27/4/2018 14:03,-0.135579
27/4/2018 14:06,-0.06207534
27/4/2018 14:09,-0.08817669
27/4/2018 14:12,-0.029849282
27/4/2018 14:15,-0.22479506
27/4/2018 14:18,-0.31079814
27/4/2018 14:21,-0.34337088
27/4/2018 14:24,-0.33321437
27/4/2018 14:27,-0.26451996
27/4/2018 14:30,0.30137756
27/4/2018 14:33,0.9621555
27/4/2018 14:36,0.50147724
27/4/2018 14:39,-0.33846292
27/4/2018 14:42,-0.31583852
27/4/2018 14:45,-0.4075894
27/4/2018 14:48,-0.43764222
27/4/2018 14:51,0.39638436
27/4/2018 14:54,0.9318802
27/4/2018 14:57,0.9157466
27/4/2018 15:00,0.8691767
27/4/2018 15:03,0.9092377
27/4/2018 15:06,0.82224995
27/4/2018 15:09,0.76407725
27/4/2018 15:12,0.71113247
27/4/2018 15:15,-0.39538202
27/4/2018 15:18,0.532696
27/4/2018 15:21,0.50945526
27/4/2018 15:24,0.44025198
27/4/2018 15:27,-0.60270435
27/4/2018 15:30,-0.7292164
27/4/2018 15:33,-0.663301
27/4/2018 15:36,-0.62357986
27/4/2018 15:39,-0.6067573
27/4/2018 15:42,-0.45845103
27/4/2018 15:45,-0.24277784
27/4/2018 15:48,-0.38797557
27/4/2018 15:51,-0.31487736
27/4/2018 15:54,0.3332717
27/4/2018 15:57,0.17384417
27/4/2018 16:00,0.093394436
27/4/2018 16:03,-0.10698321
27/4/2018 16:06,-0.4382898
27/4/2018 16:09,-0.5671539
27/4/2018 16:12,-0.53314143
27/4/2018 16:15,-0.3863839
27/4/2018 16:18,-0.16984753
27/4/2018 16:21,-0.38178232
27/4/2018 16:24,-0.44208393
27/4/2018 16:27,-0.48454854
27/4/2018 16:30,-0.5723861
27/4/2018 16:33,-0.61584103
27/4/2018 16:36,-0.7026766
27/4/2018 16:39,-0.71703243
27/4/2018 16:42,-0.78347707
27/4/2018 16:45,-0.85137004
27/4/2018 16:48,-0.8622381
27/4/2018 16:51,-0.8782401
27/4/2018 16:54,-0.91292095
27/4/2018 16:57,-0.9287037
27/4/2018 17:00,-0.94285864
27/4/2018 17:03,-0.96375364
27/4/2018 17:06,-1.0116665
27/4/2018 17:09,-1.0915705
27/4/2018 17:12,-1.109877
27/4/2018 17:15,-1.1080395
27/4/2018 17:18,-1.127073
27/4/2018 17:21,-1.135122
27/4/2018 17:24,-1.184053
27/4/2018 17:27,-1.205508
27/4/2018 17:30,-1.2394398
27/4/2018 17:33,-1.1965516
27/4/2018 17:36,-1.2482374
27/4/2018 17:39,-1.2485393
27/4/2018 17:42,-1.1972886
27/4/2018 17:45,-1.1962166
27/4/2018 17:48,-1.1934958
27/4/2018 17:51,-1.2268722
27/4/2018 17:54,-1.1979957
27/4/2018 17:57,-1.2029089
27/4/2018 18:00,-1.2275753
28/4/2018 6:00,-1.2026937
28/4/2018 6:03,-1.2018836
28/4/2018 6:06,-1.2021255
28/4/2018 6:09,-1.1924624
28/4/2018 6:12,-1.1766745
28/4/2018 6:15,-1.1598753
28/4/2018 6:18,-1.1548463
28/4/2018 6:21,-1.1407079
28/4/2018 6:24,-1.0970521
28/4/2018 6:27,-1.1101623
28/4/2018 6:30,-1.0059867
